group,trial,completed,file_match,function_match,disambiguation_message_count,ambiguous_search_message_count,selected_disambiguation_action_count,model_files,model_functions
hidden_candidate_info,trial_01,True,True,True,0,1,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
hidden_candidate_info,trial_02,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
hidden_candidate_info,trial_03,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
hidden_candidate_info,trial_04,True,False,False,0,0,0,django/db/models/base.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/base.py:ModelBase._prepare;django/db/models/base.py:ModelBase.add_to_class
hidden_candidate_info,trial_05,True,False,False,0,0,0,django/db/models/base.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/base.py:ModelBase._prepare;django/db/models/base.py:ModelBase.add_to_class
no_disamb,trial_01,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/base.py:ModelBase._prepare;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
no_disamb,trial_02,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
no_disamb,trial_03,True,True,True,1,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
no_disamb,trial_04,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
no_disamb,trial_05,True,True,True,1,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/base.py:ModelBase.add_to_class;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
standard,trial_01,True,True,True,0,0,0,django/db/models/fields/__init__.py,django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
standard,trial_02,True,True,True,1,0,1,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.add_to_class;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
standard,trial_03,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__;django/db/models/base.py:ModelBase.add_to_class;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
standard,trial_04,True,True,True,0,0,0,django/db/models/base.py;django/db/models/fields/__init__.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/fields/__init__.py:Field;django/db/models/fields/__init__.py:Field.contribute_to_class
standard,trial_05,True,False,False,0,0,0,django/db/models/base.py,django/db/models/base.py:Model;django/db/models/base.py:Model._get_FIELD_display;django/db/models/base.py:ModelBase;django/db/models/base.py:ModelBase.__new__
